название,бренд,цвет,тип фитиля,материал,страна,цена (рублей),вес (грамм),ручная работа,натуральные материалы,иерархия
Midnight Jasmine,BlissCandles,Желтый,Льняной,Пчелиный воск,США,1031,356,True,True,"Цветочные, Розы"
Citrus Grove,BlissCandles,Белый,Хлопковый,Парафиновый воск,Германия,1618,309,False,True,"Цветочные, Лаванда"
Vanilla Dream,CozyScents,Красный,Деревянный,Пчелиный воск,ОАЭ,2535,128,True,False,"Цветочные, Жасмин"
Ocean Mist,CandleCo,Оранжевый,Льняной,Пчелиный воск,ОАЭ,1143,263,True,True,"Фруктовые, Яблоко"
Cinnamon Spice,AromaLight,Зеленый,Хлопковый,Соевый воск,Россия,1187,331,True,False,"Фруктовые, Цитрусовые, Лимон"
Pumpkin Harvest,CozyScents,Зеленый,Льняной,Парафиновый воск,ОАЭ,4685,302,False,False,"Фруктовые, Цитрусовые, Грейпфрут"
Lavender Fields,CozyScents,Синий,Льняной,Парафиновый воск,Испания,1793,144,True,True,"Древесные, Дуб"
Rose Garden,PureWax,Желтый,Деревянный,Парафиновый воск,Италия,2738,223,False,True,"Древесные, Хвойные, Кедр"
Amber Sunset,BlissCandles,Фиолетовый,Льняной,Парафиновый воск,Франция,1802,139,True,False,"Древесные, Хвойные, Сосна"
Peppermint Frost,CozyScents,Зеленый,Льняной,Пчелиный воск,Италия,3704,354,False,True,"Пряные, Имбирь"
Whispering Pine,CandleCo,Зеленый,Деревянный,Пчелиный воск,США,1310,6118,True,True,"Пряные, Корица"
Ginger Peach,PureWax,Синий,Хлопковый,Парафиновый воск,Германия,2141,2181,False,True,"Пряные, Кардамон"
Honey Blossom,CandleCo,Оранжевый,Льняной,Парафиновый воск,Германия,3682,272,False,False,"Сладкие, Ваниль"
Frosty Morning,CandleCo,Зеленый,Льняной,Соевый воск,ОАЭ,1961,151,False,False,"Сладкие, Карамель"
Twilight Musk,BlissCandles,Белый,Деревянный,Соевый воск,Франция,1108,316,True,True,"Сладкие, Мед"
Golden Amber,CozyScents,Белый,Деревянный,Пчелиный воск,Франция,6919,172,False,False,"Пряные, Травяные, Мята"
Cedarwood Calm,CozyScents,Зеленый,Хлопковый,Соевый воск,Россия,3736,219,False,True,"Пряные, Травяные, Шалфей"
